
img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      74 |        2960 |       01:55:56 |       99.40% |              |       0.0505 |              |      5.0000e-09 |
|      75 |        2980 |       01:56:43 |       99.25% |              |       0.0601 |              |      5.0000e-09 |
|      75 |        3000 |       01:57:34 |       99.16% |       98.93% |       0.0709 |       0.1368 |      5.0000e-09 |
|      76 |        3020 |       01:58:21 |       99.23% |              |       0.0700 |              |      5.0000e-09 |
|      76 |        3040 |       01:59:06 |       99.48% |              |       0.0489 |              |      5.0000e-09 |
|      77 |        3060 |       01:59:52 |       99.21% |              |       0.0796 |              |      5.0000e-09 |
|      77 |        3080 |       02:00:37 |       99.30% |              |       0.0784 |              |      5.0000e-09 |
|      78 |        3100 |       02:01:30 |       99.38% |       98.95% |       0.0564 |       0.1411 |      5.0000e-09 |
|      78 |        3120 |       02:02:15 |       99.18% |              |       0.0938 |              |      5.0000e-09 |
|      79 |        3140 |       02:03:01 |       99.47% |              |       0.0641 |              |      5.0000e-09 |

img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:10 |       94.02% |       93.62% |       0.8730 |       0.8291 |          0.0500 |
|       1 |          20 |       00:00:53 |       94.22% |              |       0.5587 |              |          0.0500 |
|       1 |          40 |       00:01:37 |       94.60% |              |       0.5681 |              |          0.0500 |
|       2 |          60 |       00:02:22 |       95.93% |              |       0.4528 |              |          0.0500 |
|       2 |          80 |       00:03:07 |       97.68% |              |       0.2031 |              |          0.0500 |
|       3 |         100 |       00:03:58 |       98.79% |       97.82% |       0.1806 |       0.2604 |          0.0500 |
|       3 |         120 |       00:04:43 |       97.94% |              |       0.1760 |              |          0.0500 |
|       4 |         140 |       00:05:29 |       98.37% |              |       0.1824 |              |          0.0500 |
|       4 |         160 |       00:06:14 |       99.02% |              |       0.1128 |              |          0.0500 |
|       5 |         180 |       00:07:00 |       98.02% |              |       0.2036 |              |          0.0500 |
|       5 |         200 |       00:07:51 |       98.24% |       98.41% |       0.2350 |       0.1875 |          0.0500 |
|       6 |         220 |       00:08:37 |       97.76% |              |       0.2391 |              |          0.0500 |
|       6 |         240 |       00:09:22 |       98.92% |              |       0.1046 |              |          0.0500 |
|       7 |         260 |       00:10:08 |       98.91% |              |       0.1330 |              |          0.0500 |
|       7 |         280 |       00:10:53 |       99.01% |              |       0.1045 |              |          0.0500 |
|       8 |         300 |       00:11:45 |       99.16% |       98.77% |       0.0706 |       0.1718 |          0.0500 |
|       8 |         320 |       00:12:30 |       99.07% |              |       0.0907 |              |          0.0500 |
|       9 |         340 |       00:13:17 |       98.97% |              |       0.1007 |              |          0.0500 |
|       9 |         360 |       00:14:01 |       98.64% |              |       0.1257 |              |          0.0500 |
|      10 |         380 |       00:14:48 |       99.13% |              |       0.1052 |              |          0.0500 |
|      10 |         400 |       00:15:39 |       99.12% |       98.87% |       0.1041 |       0.1486 |          0.0500 |
