
img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      57 |        2260 |       01:26:05 |       98.18% |              |       0.2388 |              |      5.0000e-07 |
|      57 |        2280 |       01:26:49 |       98.86% |              |       0.2533 |              |      5.0000e-07 |
|      58 |        2300 |       01:27:40 |       98.94% |       98.08% |       0.1984 |       0.3105 |      5.0000e-07 |
|      58 |        2320 |       01:28:24 |       98.64% |              |       0.1983 |              |      5.0000e-07 |
|      59 |        2340 |       01:29:09 |       98.10% |              |       0.2771 |              |      5.0000e-07 |
|      59 |        2360 |       01:29:53 |       97.76% |              |       0.2926 |              |      5.0000e-07 |
|      60 |        2380 |       01:30:37 |       98.65% |              |       0.1753 |              |      5.0000e-07 |
|      60 |        2400 |       01:31:28 |       98.49% |       98.11% |       0.2424 |       0.3026 |      5.0000e-07 |
|      61 |        2420 |       01:32:13 |       97.79% |              |       0.3525 |              |      5.0000e-08 |
|      61 |        2440 |       01:32:57 |       98.43% |              |       0.2324 |              |      5.0000e-08 |
|      62 |        2460 |       01:33:42 |       98.22% |              |       0.2703 |              |      5.0000e-08 |
|      62 |        2480 |       01:34:25 |       98.65% |              |       0.2112 |              |      5.0000e-08 |
|      63 |        2500 |       01:35:17 |       98.38% |       98.07% |       0.2752 |       0.3084 |      5.0000e-08 |
|      63 |        2520 |       01:36:01 |       97.54% |              |       0.2861 |              |      5.0000e-08 |
|      64 |        2540 |       01:36:46 |       98.54% |              |       0.2277 |              |      5.0000e-08 |
|      64 |        2560 |       01:37:30 |       98.05% |              |       0.3095 |              |      5.0000e-08 |
|      65 |        2580 |       01:38:15 |       98.37% |              |       0.2256 |              |      5.0000e-08 |
|      65 |        2600 |       01:39:05 |       98.43% |       98.01% |       0.2404 |       0.3110 |      5.0000e-08 |
|      66 |        2620 |       01:39:50 |       98.67% |              |       0.2150 |              |      5.0000e-08 |
|      66 |        2640 |       01:40:34 |       98.57% |              |       0.2845 |              |      5.0000e-08 |
|      67 |        2660 |       01:41:19 |       98.69% |              |       0.2830 |              |      5.0000e-08 |
|      67 |        2680 |       01:42:03 |       98.51% |              |       0.1703 |              |      5.0000e-08 |
|      68 |        2700 |       01:42:54 |       98.37% |       98.10% |       0.2896 |       0.3147 |      5.0000e-08 |
|      68 |        2720 |       01:43:38 |       98.58% |              |       0.1856 |              |      5.0000e-08 |
|      69 |        2740 |       01:44:23 |       98.74% |              |       0.2128 |              |      5.0000e-08 |
|      69 |        2760 |       01:45:07 |       98.30% |              |       0.2887 |              |      5.0000e-08 |
|      70 |        2780 |       01:45:51 |       98.14% |              |       0.2126 |              |      5.0000e-08 |
|      70 |        2800 |       01:46:42 |       98.61% |       98.09% |       0.2284 |       0.3035 |      5.0000e-08 |
|      71 |        2820 |       01:47:27 |       98.28% |              |       0.2292 |              |      5.0000e-09 |
|      71 |        2840 |       01:48:11 |       98.86% |              |       0.1962 |              |      5.0000e-09 |
|      72 |        2860 |       01:48:56 |       98.36% |              |       0.2582 |              |      5.0000e-09 |
|      72 |        2880 |       01:49:40 |       98.47% |              |       0.2376 |              |      5.0000e-09 |
|      73 |        2900 |       01:50:31 |       97.52% |       98.01% |       0.3161 |       0.3130 |      5.0000e-09 |
|      73 |        2920 |       01:51:15 |       98.73% |              |       0.2218 |              |      5.0000e-09 |
|      74 |        2940 |       01:52:01 |       98.72% |              |       0.1949 |              |      5.0000e-09 |
|      74 |        2960 |       01:52:44 |       98.45% |              |       0.2879 |              |      5.0000e-09 |
|      75 |        2980 |       01:53:30 |       97.98% |              |       0.2216 |              |      5.0000e-09 |
|      75 |        3000 |       01:54:20 |       98.34% |       98.15% |       0.2523 |       0.2998 |      5.0000e-09 |
|      76 |        3020 |       01:55:05 |       98.54% |              |       0.2132 |              |      5.0000e-09 |
|      76 |        3040 |       01:55:49 |       98.76% |              |       0.1933 |              |      5.0000e-09 |
|      77 |        3060 |       01:56:34 |       97.80% |              |       0.2767 |              |      5.0000e-09 |
|      77 |        3080 |       01:57:17 |       98.02% |              |       0.3773 |              |      5.0000e-09 |
|      78 |        3100 |       01:58:09 |       97.34% |       98.07% |       0.3619 |       0.3115 |      5.0000e-09 |
|      78 |        3120 |       01:58:53 |       98.42% |              |       0.2304 |              |      5.0000e-09 |
|      79 |        3140 |       01:59:38 |       98.62% |              |       0.2145 |              |      5.0000e-09 |
|      79 |        3160 |       02:00:22 |       98.20% |              |       0.2597 |              |      5.0000e-09 |
|      80 |        3180 |       02:01:07 |       98.01% |              |       0.2733 |              |      5.0000e-09 |
|      80 |        3200 |       02:01:57 |       98.59% |       98.12% |       0.2654 |       0.2998 |      5.0000e-09 |
|      81 |        3220 |       02:02:42 |       98.45% |              |       0.2382 |              |      5.0000e-10 |
|      81 |        3240 |       02:03:26 |       97.63% |              |       0.4065 |              |      5.0000e-10 |
|      82 |        3260 |       02:04:11 |       98.53% |              |       0.2772 |              |      5.0000e-10 |
|      82 |        3280 |       02:04:54 |       98.22% |              |       0.3122 |              |      5.0000e-10 |
|      83 |        3300 |       02:05:46 |       97.84% |       98.10% |       0.3039 |       0.3092 |      5.0000e-10 |
|      83 |        3320 |       02:06:30 |       97.54% |              |       0.2892 |              |      5.0000e-10 |
|      84 |        3340 |       02:07:15 |       98.64% |              |       0.2230 |              |      5.0000e-10 |
|      84 |        3360 |       02:07:58 |       98.57% |              |       0.2722 |              |      5.0000e-10 |
|      85 |        3380 |       02:08:43 |       98.34% |              |       0.2384 |              |      5.0000e-10 |
|      85 |        3400 |       02:09:34 |       98.39% |       98.14% |       0.1883 |       0.3060 |      5.0000e-10 |
|      86 |        3420 |       02:10:19 |       98.78% |              |       0.1958 |              |      5.0000e-10 |
