
img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      63 |        2500 |       01:38:55 |       98.90% |       98.58% |       0.1450 |       0.2409 |      5.0000e-08 |
|      63 |        2520 |       01:39:40 |       98.79% |              |       0.2247 |              |      5.0000e-08 |
|      64 |        2540 |       01:40:27 |       98.89% |              |       0.1722 |              |      5.0000e-08 |
|      64 |        2560 |       01:41:12 |       99.04% |              |       0.1544 |              |      5.0000e-08 |
|      65 |        2580 |       01:41:59 |       98.66% |              |       0.1816 |              |      5.0000e-08 |
|      65 |        2600 |       01:42:51 |       98.07% |       98.54% |       0.2319 |       0.2466 |      5.0000e-08 |
|      66 |        2620 |       01:43:38 |       98.95% |              |       0.1675 |              |      5.0000e-08 |
|      66 |        2640 |       01:44:23 |       98.70% |              |       0.1965 |              |      5.0000e-08 |
|      67 |        2660 |       01:45:10 |       99.03% |              |       0.1790 |              |      5.0000e-08 |
|      67 |        2680 |       01:45:55 |       99.13% |              |       0.1399 |              |      5.0000e-08 |
|      68 |        2700 |       01:46:49 |       99.17% |       98.57% |       0.1322 |       0.2474 |      5.0000e-08 |
|      68 |        2720 |       01:47:34 |       99.10% |              |       0.1749 |              |      5.0000e-08 |
|      69 |        2740 |       01:48:21 |       98.57% |              |       0.1847 |              |      5.0000e-08 |
|      69 |        2760 |       01:49:06 |       99.14% |              |       0.1571 |              |      5.0000e-08 |
|      70 |        2780 |       01:49:53 |       98.86% |              |       0.1870 |              |      5.0000e-08 |
|      70 |        2800 |       01:50:45 |       99.02% |       98.63% |       0.2007 |       0.2469 |      5.0000e-08 |
|      71 |        2820 |       01:51:32 |       98.78% |              |       0.1988 |              |      5.0000e-09 |
|      71 |        2840 |       01:52:17 |       98.51% |              |       0.2003 |              |      5.0000e-09 |
|      72 |        2860 |       01:53:04 |       98.92% |              |       0.1488 |              |      5.0000e-09 |
|      72 |        2880 |       01:53:49 |       98.72% |              |       0.1983 |              |      5.0000e-09 |
|      73 |        2900 |       01:54:43 |       98.60% |       98.65% |       0.1820 |       0.2412 |      5.0000e-09 |
|      73 |        2920 |       01:55:29 |       98.66% |              |       0.2510 |              |      5.0000e-09 |
|      74 |        2940 |       01:56:16 |       99.10% |              |       0.1384 |              |      5.0000e-09 |
|      74 |        2960 |       01:57:01 |       99.18% |              |       0.1312 |              |      5.0000e-09 |
|      75 |        2980 |       01:57:47 |       98.96% |              |       0.2119 |              |      5.0000e-09 |
|      75 |        3000 |       01:58:39 |       98.92% |       98.59% |       0.1423 |       0.2506 |      5.0000e-09 |
|      76 |        3020 |       01:59:26 |       98.73% |              |       0.1856 |              |      5.0000e-09 |
|      76 |        3040 |       02:00:12 |       98.85% |              |       0.1452 |              |      5.0000e-09 |
|      77 |        3060 |       02:00:58 |       98.91% |              |       0.1601 |              |      5.0000e-09 |
|      77 |        3080 |       02:01:44 |       98.44% |              |       0.2337 |              |      5.0000e-09 |
|      78 |        3100 |       02:02:37 |       98.52% |       98.57% |       0.2674 |       0.2506 |      5.0000e-09 |
|      78 |        3120 |       02:03:22 |       99.17% |              |       0.1578 |              |      5.0000e-09 |
|      79 |        3140 |       02:04:09 |       99.00% |              |       0.1999 |              |      5.0000e-09 |
|      79 |        3160 |       02:04:54 |       98.58% |              |       0.2088 |              |      5.0000e-09 |
|      80 |        3180 |       02:05:41 |       99.08% |              |       0.1827 |              |      5.0000e-09 |
|      80 |        3200 |       02:06:33 |       98.97% |       98.61% |       0.2089 |       0.2430 |      5.0000e-09 |
|      81 |        3220 |       02:07:20 |       98.92% |              |       0.1891 |              |      5.0000e-10 |
|      81 |        3240 |       02:08:05 |       98.63% |              |       0.2801 |              |      5.0000e-10 |
|      82 |        3260 |       02:08:52 |       99.07% |              |       0.1496 |              |      5.0000e-10 |
|      82 |        3280 |       02:09:37 |       99.02% |              |       0.1626 |              |      5.0000e-10 |
|      83 |        3300 |       02:10:30 |       98.94% |       98.55% |       0.2073 |       0.2425 |      5.0000e-10 |
|      83 |        3320 |       02:11:16 |       98.92% |              |       0.1547 |              |      5.0000e-10 |
|      84 |        3340 |       02:12:03 |       98.76% |              |       0.2055 |              |      5.0000e-10 |
|      84 |        3360 |       02:12:48 |       99.12% |              |       0.1738 |              |      5.0000e-10 |
|      85 |        3380 |       02:13:35 |       98.97% |              |       0.1600 |              |      5.0000e-10 |
|      85 |        3400 |       02:14:26 |       99.11% |       98.57% |       0.1363 |       0.2427 |      5.0000e-10 |
|      86 |        3420 |       02:15:14 |       98.92% |              |       0.1437 |              |      5.0000e-10 |
|      86 |        3440 |       02:15:59 |       99.07% |              |       0.1444 |              |      5.0000e-10 |
|      87 |        3460 |       02:16:46 |       99.02% |              |       0.1808 |              |      5.0000e-10 |
|      87 |        3480 |       02:17:31 |       98.80% |              |       0.1815 |              |      5.0000e-10 |
|      88 |        3500 |       02:18:24 |       99.00% |       98.60% |       0.1940 |       0.2444 |      5.0000e-10 |
|      88 |        3520 |       02:19:09 |       99.02% |              |       0.1404 |              |      5.0000e-10 |
|      89 |        3540 |       02:19:56 |       98.89% |              |       0.2254 |              |      5.0000e-10 |
|      89 |        3560 |       02:20:41 |       98.68% |              |       0.1881 |              |      5.0000e-10 |
|      90 |        3580 |       02:21:28 |       98.89% |              |       0.1563 |              |      5.0000e-10 |
|      90 |        3600 |       02:22:20 |       99.18% |       98.56% |       0.1532 |       0.2438 |      5.0000e-10 |
|      91 |        3620 |       02:23:07 |       98.48% |              |       0.2102 |              |      5.0000e-11 |
|      91 |        3640 |       02:23:52 |       98.74% |              |       0.1957 |              |      5.0000e-11 |
|      92 |        3660 |       02:24:39 |       98.92% |              |       0.2164 |              |      5.0000e-11 |
|      92 |        3680 |       02:25:24 |       98.85% |              |       0.1692 |              |      5.0000e-11 |
|      93 |        3700 |       02:26:17 |       98.69% |       98.62% |       0.2247 |       0.2430 |      5.0000e-11 |
|      93 |        3720 |       02:27:03 |       99.05% |              |       0.1487 |              |      5.0000e-11 |
|      94 |        3740 |       02:27:50 |       99.02% |              |       0.2045 |              |      5.0000e-11 |
|      94 |        3760 |       02:28:35 |       98.68% |              |       0.2009 |              |      5.0000e-11 |
|      95 |        3780 |       02:29:22 |       98.86% |              |       0.2206 |              |      5.0000e-11 |
|      95 |        3800 |       02:30:13 |       98.73% |       98.60% |       0.1620 |       0.2417 |      5.0000e-11 |
|      96 |        3820 |       02:31:00 |       99.04% |              |       0.1676 |              |      5.0000e-11 |
|      96 |        3840 |       02:31:46 |       99.04% |              |       0.1494 |              |      5.0000e-11 |
|      97 |        3860 |       02:32:32 |       98.89% |              |       0.1638 |              |      5.0000e-11 |
|      97 |        3880 |       02:33:17 |       99.19% |              |       0.1686 |              |      5.0000e-11 |
|      98 |        3900 |       02:34:10 |       98.93% |       98.66% |       0.1669 |       0.2407 |      5.0000e-11 |
|      98 |        3920 |       02:34:56 |       98.78% |              |       0.2013 |              |      5.0000e-11 |
|      99 |        3940 |       02:35:43 |       97.98% |              |       0.2301 |              |      5.0000e-11 |
|      99 |        3960 |       02:36:28 |       98.88% |              |       0.1524 |              |      5.0000e-11 |
|     100 |        3980 |       02:37:15 |       98.93% |              |       0.1633 |              |      5.0000e-11 |
|     100 |        4000 |       02:38:06 |       99.02% |       98.64% |       0.1570 |       0.2420 |      5.0000e-11 |
|     101 |        4020 |       02:38:53 |       99.05% |              |       0.1870 |              |      5.0000e-12 |
|     101 |        4040 |       02:39:39 |       98.75% |              |       0.2042 |              |      5.0000e-12 |
|     102 |        4060 |       02:40:25 |       99.00% |              |       0.1286 |              |      5.0000e-12 |
|     102 |        4080 |       02:41:10 |       98.91% |              |       0.1689 |              |      5.0000e-12 |
|     103 |        4100 |       02:42:04 |       98.95% |       98.63% |       0.1997 |       0.2412 |      5.0000e-12 |
|     103 |        4120 |       02:42:50 |       98.68% |              |       0.2286 |              |      5.0000e-12 |
|     104 |        4140 |       02:43:36 |       98.79% |              |       0.1846 |              |      5.0000e-12 |
|     104 |        4160 |       02:44:21 |       98.74% |              |       0.1763 |              |      5.0000e-12 |
|     105 |        4180 |       02:45:08 |       98.83% |              |       0.2188 |              |      5.0000e-12 |
|     105 |        4200 |       02:46:00 |       98.46% |       98.64% |       0.1910 |       0.2420 |      5.0000e-12 |
|     106 |        4220 |       02:46:47 |       98.81% |              |       0.1817 |              |      5.0000e-12 |
|     106 |        4240 |       02:47:32 |       99.01% |              |       0.2047 |              |      5.0000e-12 |
|     107 |        4260 |       02:48:19 |       98.90% |              |       0.1678 |              |      5.0000e-12 |
|     107 |        4280 |       02:49:04 |       98.94% |              |       0.1734 |              |      5.0000e-12 |
|     108 |        4300 |       02:49:57 |       99.00% |       98.54% |       0.1689 |       0.2409 |      5.0000e-12 |
|     108 |        4320 |       02:50:43 |       99.00% |              |       0.1630 |              |      5.0000e-12 |
|     109 |        4340 |       02:51:30 |       98.68% |              |       0.2187 |              |      5.0000e-12 |
|     109 |        4360 |       02:52:15 |       98.92% |              |       0.2138 |              |      5.0000e-12 |
|     110 |        4380 |       02:53:02 |       98.27% |              |       0.2416 |              |      5.0000e-12 |
|     110 |        4400 |       02:53:53 |       98.90% |       98.60% |       0.1783 |       0.2423 |      5.0000e-12 |
|     111 |        4420 |       02:54:41 |       98.86% |              |       0.1270 |              |      5.0000e-13 |
|     111 |        4440 |       02:55:26 |       98.67% |              |       0.1794 |              |      5.0000e-13 |
|     112 |        4460 |       02:56:12 |       98.95% |              |       0.1764 |              |      5.0000e-13 |
|     112 |        4480 |       02:56:58 |       98.75% |              |       0.1698 |              |      5.0000e-13 |
|     113 |        4500 |       02:57:51 |       98.66% |       98.59% |       0.1915 |       0.2425 |      5.0000e-13 |
|     113 |        4520 |       02:58:36 |       98.86% |              |       0.1638 |              |      5.0000e-13 |
